player_id,series_id,game_id,agent,agent_role,kills,deaths,assists,fk,fd,clutches,aces,adr,points
36,11,24,Killjoy,Sentinel,15.0,11.0,2.0,3.0,1.0,0,0,128.0,28.3
19,11,24,Sova,Initiator,8.0,9.0,9.0,1.0,2.0,0,0,92.0,17.200000000000003
42,11,24,Killjoy,Sentinel,8.0,11.0,2.0,0.0,1.0,1,0,77.0,12.2
24,11,24,Gekko,Initiator,10.0,13.0,7.0,2.0,1.0,0,0,117.0,21.700000000000003
48,11,24,Breach,Initiator,10.0,14.0,10.0,0.0,1.0,0,0,92.0,16.200000000000003
16,11,24,Jett,Duelist,12.0,16.0,2.0,2.0,6.0,0,0,128.0,15.8
56,11,24,Omen,Controller,6.0,14.0,4.0,2.0,3.0,0,0,65.0,8.5
25,11,25,Viper,Controller,18.0,11.0,4.0,0.0,2.0,0,0,152.0,27.700000000000003
58,11,25,Raze,Duelist,21.0,14.0,3.0,9.0,4.0,0,0,192.0,48.7
36,11,25,Cypher,Sentinel,11.0,10.0,3.0,0.0,0.0,1,0,89.0,18.4
19,11,25,Skye,Initiator,10.0,12.0,10.0,1.0,3.0,0,0,104.0,18.4
22,11,25,Omen,Controller,11.0,14.0,9.0,1.0,2.0,0,0,127.0,21.200000000000003
24,11,25,Skye,Initiator,17.0,13.0,8.0,3.0,1.0,0,0,147.0,34.2
56,11,25,Omen,Controller,15.0,14.0,6.0,2.0,4.0,0,0,141.0,25.1
42,11,25,Cypher,Sentinel,11.0,13.0,3.0,2.0,2.0,1,0,86.0,18.6
48,11,25,Viper,Controller,10.0,15.0,5.0,1.0,1.0,0,0,104.0,16.4
16,11,25,Raze,Duelist,6.0,16.0,5.0,2.0,2.0,0,0,77.0,10.2
1,12,26,Harbor,Controller,12.0,14.0,1.0,2.0,2.0,0,0,121.0,19.6
35,12,26,Sage,Sentinel,10.0,16.0,7.0,1.0,2.0,1,1,114.0,21.9
51,12,26,Clove,Controller,9.0,20.0,2.0,3.0,4.0,0,0,104.0,12.4
6,12,26,Sova,Initiator,6.0,14.0,2.0,0.0,2.0,0,0,71.0,5.1000000000000005
15,12,26,Killjoy,Sentinel,6.0,17.0,0.0,0.0,2.0,0,0,61.0,1.6000000000000005
